Model,Dataset,Missing Rate (%),Métrica,Teste
pmivae,sylva_prior,60,MAE,0.101773423211328
pmivae,sylva_prior,60,MAE,0.0743932680163416
pmivae,sylva_prior,60,MAE,0.0869804169542157
pmivae,sylva_prior,60,MAE,0.0859363467466174
pmivae,fri_c4_1000_100,10,MAE,1.06020669476085
pmivae,fri_c4_1000_100,10,MAE,0.851570362212825
pmivae,fri_c4_1000_100,10,MAE,1.3886056128388
pmivae,fri_c4_1000_100,10,MAE,0.459889677900387
pmivae,fri_c4_1000_100,10,MAE,0.333996831638384
pmivae,fri_c4_1000_100,20,MAE,0.59457444958897
pmivae,fri_c4_1000_100,20,MAE,0.477097238953704
pmivae,fri_c4_1000_100,20,MAE,0.761809131711866
pmivae,fri_c4_1000_100,20,MAE,0.297351215073234
pmivae,fri_c4_1000_100,20,MAE,0.249080885129844
pmivae,fri_c4_1000_100,40,MAE,0.36061619440028
pmivae,fri_c4_1000_100,40,MAE,0.290560508579691
pmivae,fri_c4_1000_100,40,MAE,0.441534561501704
pmivae,fri_c4_1000_100,40,MAE,0.215389762938386
pmivae,fri_c4_1000_100,40,MAE,0.191751107124972
pmivae,fri_c4_1000_100,60,MAE,0.281867757726876
pmivae,fri_c4_1000_100,60,MAE,0.230342517271933
pmivae,fri_c4_1000_100,60,MAE,0.337043204370858
pmivae,fri_c4_1000_100,60,MAE,0.186012226362744
pmivae,fri_c4_1000_100,60,MAE,0.172061539028069
lpr0,sylva_prior,10,MAE,0.104427098756864
lpr0,sylva_prior,10,MAE,0.131189498642334
lpr0,sylva_prior,10,MAE,0.110052202660279
lpr0,sylva_prior,10,MAE,0.115402835828069
lpr0,sylva_prior,10,MAE,0.105148160905034
lpr0,sylva_prior,20,MAE,0.0948297206902705
lpr0,sylva_prior,20,MAE,0.121644355448805
lpr0,sylva_prior,20,MAE,0.104736196942603
lpr0,sylva_prior,20,MAE,0.110136539520673
lpr0,sylva_prior,20,MAE,0.0996422321412375
lpr0,sylva_prior,40,MAE,0.0925181213164074
lpr0,sylva_prior,40,MAE,0.116476770066272
lpr0,sylva_prior,40,MAE,0.0971709704253915
lpr0,sylva_prior,40,MAE,0.10511809952377
lpr0,sylva_prior,40,MAE,0.0974895180565426
lpr0,sylva_prior,60,MAE,0.101172227087656
lpr0,sylva_prior,60,MAE,0.117041559173214
lpr0,sylva_prior,60,MAE,0.0976206092600155
lpr0,sylva_prior,60,MAE,0.102183240530462
lpr0,sylva_prior,60,MAE,0.0989538442924196
lpr0,fri_c4_1000_100,10,MAE,1.05821960176833
lpr0,fri_c4_1000_100,10,MAE,0.849241070620235
lpr0,fri_c4_1000_100,10,MAE,1.38770071304247
lpr0,fri_c4_1000_100,10,MAE,0.45552330284807
lpr0,fri_c4_1000_100,10,MAE,0.331662225423943
lpr0,fri_c4_1000_100,20,MAE,0.592071157704926
lpr0,fri_c4_1000_100,20,MAE,0.474670998516967
lpr0,fri_c4_1000_100,20,MAE,0.757836029815736
lpr0,fri_c4_1000_100,20,MAE,0.293371642007456
lpr0,fri_c4_1000_100,20,MAE,0.246895753687412
lpr0,fri_c4_1000_100,40,MAE,0.358066587779772
lpr0,fri_c4_1000_100,40,MAE,0.287752543035445
lpr0,fri_c4_1000_100,40,MAE,0.43683261576752
lpr0,fri_c4_1000_100,40,MAE,0.209763929572443
lpr0,fri_c4_1000_100,40,MAE,0.187566651508273
lpr0,fri_c4_1000_100,60,MAE,0.279923748979747
lpr0,fri_c4_1000_100,60,MAE,0.22898661666715
lpr0,fri_c4_1000_100,60,MAE,0.332808333409583
lpr0,fri_c4_1000_100,60,MAE,0.181542447852926
lpr0,fri_c4_1000_100,60,MAE,0.167118706536949
lpr1,sylva_prior,10,MAE,0.103882405482122
lpr1,sylva_prior,10,MAE,0.126577936333328
lpr1,sylva_prior,10,MAE,0.120086039177329
lpr1,sylva_prior,10,MAE,0.112271033623241
lpr1,sylva_prior,10,MAE,0.102689730115638
lpr1,sylva_prior,20,MAE,0.0973747146403136
lpr1,sylva_prior,20,MAE,0.123889524488715
