Model,Dataset,Missing Rate (%),Métrica,Teste,Mecanismo
mice,fri_c4_1000_100,40,MAE,0.235285584175974,MAR-MEDIAN
mice,fri_c4_1000_100,40,MAE,0.206609793293041,MAR-MEDIAN
mice,fri_c4_1000_100,40,MAE,0.192116070973337,MAR-MEDIAN
mice,fri_c4_1000_100,60,MAE,0.210088118308468,MAR-MEDIAN
mice,fri_c4_1000_100,60,MAE,0.122200963829562,MAR-MEDIAN
mice,fri_c4_1000_100,60,MAE,0.379064563122227,MAR-MEDIAN
mice,fri_c4_1000_100,60,MAE,0.206582068926216,MAR-MEDIAN
mice,fri_c4_1000_100,60,MAE,0.667118454913686,MAR-MEDIAN
saei,sylva_prior,10,MAE,0.0819990390837001,MAR-MEDIAN
saei,sylva_prior,10,MAE,0.0724225986150672,MAR-MEDIAN
saei,sylva_prior,10,MAE,0.0743291149857241,MAR-MEDIAN
saei,sylva_prior,10,MAE,0.0898362988236735,MAR-MEDIAN
saei,sylva_prior,10,MAE,0.0935204612515551,MAR-MEDIAN
saei,sylva_prior,20,MAE,0.088970531358523,MAR-MEDIAN
saei,sylva_prior,20,MAE,0.0773010290323073,MAR-MEDIAN
saei,sylva_prior,20,MAE,0.0556268258532198,MAR-MEDIAN
saei,sylva_prior,20,MAE,0.0725109324202809,MAR-MEDIAN
saei,sylva_prior,20,MAE,0.0653073007211228,MAR-MEDIAN
saei,sylva_prior,40,MAE,0.0719560797671967,MAR-MEDIAN
saei,sylva_prior,40,MAE,0.0567129034842593,MAR-MEDIAN
saei,sylva_prior,40,MAE,0.0659472557214079,MAR-MEDIAN
saei,sylva_prior,40,MAE,0.0683441854792332,MAR-MEDIAN
saei,sylva_prior,40,MAE,0.0747214649482254,MAR-MEDIAN
saei,sylva_prior,60,MAE,0.0732184675789535,MAR-MEDIAN
saei,sylva_prior,60,MAE,0.0760838301519296,MAR-MEDIAN
saei,sylva_prior,60,MAE,0.0787533277452965,MAR-MEDIAN
saei,sylva_prior,60,MAE,0.0682665045435997,MAR-MEDIAN
saei,sylva_prior,60,MAE,0.0832442859944132,MAR-MEDIAN
saei,fri_c4_1000_100,10,MAE,0.0965980468354626,MAR-MEDIAN
saei,fri_c4_1000_100,10,MAE,0.0984768347410882,MAR-MEDIAN
saei,fri_c4_1000_100,10,MAE,0.141041488408309,MAR-MEDIAN
saei,fri_c4_1000_100,10,MAE,0.403100670714308,MAR-MEDIAN
saei,fri_c4_1000_100,10,MAE,0.135872486885144,MAR-MEDIAN
saei,fri_c4_1000_100,20,MAE,0.108647764060905,MAR-MEDIAN
saei,fri_c4_1000_100,20,MAE,0.224638534779689,MAR-MEDIAN
saei,fri_c4_1000_100,20,MAE,0.264237976762172,MAR-MEDIAN
saei,fri_c4_1000_100,20,MAE,0.356946587760094,MAR-MEDIAN
saei,fri_c4_1000_100,20,MAE,0.148003051588157,MAR-MEDIAN
saei,fri_c4_1000_100,40,MAE,0.121929865621753,MAR-MEDIAN
saei,fri_c4_1000_100,40,MAE,0.11511531388956,MAR-MEDIAN
saei,fri_c4_1000_100,40,MAE,0.192685443251568,MAR-MEDIAN
saei,fri_c4_1000_100,40,MAE,0.150902499282344,MAR-MEDIAN
saei,fri_c4_1000_100,40,MAE,0.135900319882035,MAR-MEDIAN
saei,fri_c4_1000_100,60,MAE,0.14201812443663,MAR-MEDIAN
saei,fri_c4_1000_100,60,MAE,0.120284437237951,MAR-MEDIAN
saei,fri_c4_1000_100,60,MAE,0.182028023738465,MAR-MEDIAN
saei,fri_c4_1000_100,60,MAE,0.284795587087094,MAR-MEDIAN
saei,fri_c4_1000_100,60,MAE,0.235273058439382,MAR-MEDIAN
pmivae,sylva_prior,10,MAE,0.0535370955027759,MAR-MEDIAN
pmivae,sylva_prior,10,MAE,0.0494410242093131,MAR-MEDIAN
pmivae,sylva_prior,10,MAE,0.0624694219464138,MAR-MEDIAN
pmivae,sylva_prior,10,MAE,0.0683134836805701,MAR-MEDIAN
pmivae,sylva_prior,10,MAE,0.068311678794294,MAR-MEDIAN
pmivae,sylva_prior,20,MAE,0.0702125205268744,MAR-MEDIAN
pmivae,sylva_prior,20,MAE,0.0609836505926172,MAR-MEDIAN
pmivae,sylva_prior,20,MAE,0.0494825194347881,MAR-MEDIAN
pmivae,sylva_prior,20,MAE,0.0577751379401742,MAR-MEDIAN
pmivae,sylva_prior,20,MAE,0.0532680306300882,MAR-MEDIAN
pmivae,sylva_prior,40,MAE,0.062647085118276,MAR-MEDIAN
pmivae,sylva_prior,40,MAE,0.0540608227733504,MAR-MEDIAN
pmivae,sylva_prior,40,MAE,0.0593090465297002,MAR-MEDIAN
pmivae,sylva_prior,40,MAE,0.0695353802777421,MAR-MEDIAN
pmivae,sylva_prior,40,MAE,0.0617534650048765,MAR-MEDIAN
pmivae,sylva_prior,60,MAE,0.0639247087707347,MAR-MEDIAN
pmivae,sylva_prior,60,MAE,0.0419937112073731,MAR-MEDIAN
pmivae,sylva_prior,60,MAE,0.083117251791012,MAR-MEDIAN
pmivae,sylva_prior,60,MAE,0.0530772036208315,MAR-MEDIAN
pmivae,sylva_prior,60,MAE,0.0615484525298221,MAR-MEDIAN
pmivae,fri_c4_1000_100,10,MAE,0.565854518989033,MAR-MEDIAN
pmivae,fri_c4_1000_100,10,MAE,0.1802509605118,MAR-MEDIAN
pmivae,fri_c4_1000_100,10,MAE,0.141129409603112,MAR-MEDIAN
pmivae,fri_c4_1000_100,10,MAE,0.247803424448967,MAR-MEDIAN
pmivae,fri_c4_1000_100,10,MAE,0.12041503804281,MAR-MEDIAN
pmivae,fri_c4_1000_100,20,MAE,0.0880525084349626,MAR-MEDIAN
pmivae,fri_c4_1000_100,20,MAE,0.0943102786756842,MAR-MEDIAN
pmivae,fri_c4_1000_100,20,MAE,0.303494337600344,MAR-MEDIAN
pmivae,fri_c4_1000_100,20,MAE,0.149996329847882,MAR-MEDIAN
pmivae,fri_c4_1000_100,20,MAE,0.11936204980366,MAR-MEDIAN
pmivae,fri_c4_1000_100,40,MAE,0.103111415998282,MAR-MEDIAN
pmivae,fri_c4_1000_100,40,MAE,0.101939114174271,MAR-MEDIAN
pmivae,fri_c4_1000_100,40,MAE,0.194391566062805,MAR-MEDIAN
