Model,Dataset,Missing Rate (%),Métrica,Teste
pmivae,sylva_prior,60,MAE,0.0612634652904012
pmivae,sylva_prior,60,MAE,0.061693947715628
pmivae,sylva_prior,60,MAE,0.0617186333128588
pmivae,fri_c4_1000_100,10,MAE,0.111699005478805
pmivae,fri_c4_1000_100,10,MAE,0.156353953266035
pmivae,fri_c4_1000_100,10,MAE,0.121743895473537
pmivae,fri_c4_1000_100,10,MAE,0.169649138912495
pmivae,fri_c4_1000_100,10,MAE,0.332167007028022
pmivae,fri_c4_1000_100,20,MAE,0.26046921864348
pmivae,fri_c4_1000_100,20,MAE,0.213885529365955
pmivae,fri_c4_1000_100,20,MAE,0.124194620939176
pmivae,fri_c4_1000_100,20,MAE,0.280197644601727
pmivae,fri_c4_1000_100,20,MAE,0.246398051139718
pmivae,fri_c4_1000_100,40,MAE,0.153661021018688
pmivae,fri_c4_1000_100,40,MAE,0.110878396794409
pmivae,fri_c4_1000_100,40,MAE,0.250735504797441
pmivae,fri_c4_1000_100,40,MAE,0.184092725054817
pmivae,fri_c4_1000_100,40,MAE,0.261283860148956
pmivae,fri_c4_1000_100,60,MAE,0.16105557900242
pmivae,fri_c4_1000_100,60,MAE,0.203408385903325
pmivae,fri_c4_1000_100,60,MAE,0.297724574694792
pmivae,fri_c4_1000_100,60,MAE,0.24528839259236
pmivae,fri_c4_1000_100,60,MAE,0.291787134179139
lpr0,sylva_prior,10,MAE,0.0790331487662226
lpr0,sylva_prior,10,MAE,0.0772426156396056
lpr0,sylva_prior,10,MAE,0.0766783555856699
lpr0,sylva_prior,10,MAE,0.081574748605543
lpr0,sylva_prior,10,MAE,0.0796312151534387
lpr0,sylva_prior,20,MAE,0.0785885443360887
lpr0,sylva_prior,20,MAE,0.077806091573231
lpr0,sylva_prior,20,MAE,0.0799607378151022
lpr0,sylva_prior,20,MAE,0.0804399139712762
lpr0,sylva_prior,20,MAE,0.0811674506927461
lpr0,sylva_prior,40,MAE,0.0791796643738626
lpr0,sylva_prior,40,MAE,0.0796005856647467
lpr0,sylva_prior,40,MAE,0.0774570750672094
lpr0,sylva_prior,40,MAE,0.0794499835019391
lpr0,sylva_prior,40,MAE,0.0783327368326565
lpr0,sylva_prior,60,MAE,0.0800849675530352
lpr0,sylva_prior,60,MAE,0.0786877184852505
lpr0,sylva_prior,60,MAE,0.0791163133959581
lpr0,sylva_prior,60,MAE,0.0808523800001647
lpr0,sylva_prior,60,MAE,0.0794298504811335
lpr0,fri_c4_1000_100,10,MAE,0.349807753722293
lpr0,fri_c4_1000_100,10,MAE,0.466324893131488
