mean,knn,mice,pmivae,saei,lpr2
1.3456470952416102,1.3306865897534532,1.2448889536659582,1.2948253414426492,1.3882591763584102,1.3562829219208752
1.3620393262740003,1.2939292981944992,1.3093042049418722,1.2600231109046143,1.3243377024004623,1.2800498163412022
1.3909543295297573,1.3933321430493764,1.3950924170692962,1.3863717804395113,1.3907909350653203,1.3923178003431362
1.3456204693685552,1.3952518500472841,1.3724796886705741,1.3133711821052954,1.3774351529507562,1.2929067806207462
1.3633174487931543,1.3545164351507482,1.3864193623347583,1.3362296057534402,1.3861990744191732,1.3539141744040422
1.3234762512650273,1.3641823606751922,1.3457109444248934,1.2947538062982074,1.3870366012631452,1.3582694901883032
1.3209208534190093,1.2882989395430342,1.3456213415878202,1.2494132718667004,1.2649016925853322,1.2093443198039773
1.3669639456576341,1.3739574377337853,1.3750283420211473,1.3638144659640123,1.3389928147910712,1.3327282433494032
1.3574141972937284,1.3574876280730093,1.3094674777525603,1.3350448202819842,1.3774330185935693,1.3332265286469833
1.2984402122680283,1.3062901150220372,1.3036385376092703,1.2606610440236792,1.3752697007614882,1.3104951794012614
1.2682073217630472,1.3026048884393981,1.3016374806715463,1.2264160313093684,1.3179105570016412,1.2927380593072002
1.3014740688714592,1.3151981772609553,1.2154123259785752,1.3009090953341123,1.3665195373991352,1.3403415496298123
1.3456399506608943,1.3515736691112263,1.3178881317251023,1.3164691137253233,1.3908789120326392,1.3532528183951202
1.3137166211950242,1.3389302171772772,1.3178964523063812,1.3026816480072583,1.3442475945463772,1.3355005680568872
1.2925588436132753,1.3282087009785442,1.2844155185653532,1.2604583554665463,1.3959286628836272,1.3101113220093532
1.2790962494467442,1.3086961878988093,1.2241117572683733,1.2659111089476762,1.3005670854538143,1.3183780910226481
1.2393605886306842,1.2320342050797781,1.2095596467904313,1.2501288010756242,1.2199148158667832,1.2622171617748892
1.3817811729190892,1.3947614714789573,1.3920426144351212,1.3513780998198592,1.4010963066796411,1.3807455718267874
1.3061257216301232,1.2908443410473802,1.3139774626658622,1.2907548496574932,1.3222487577316062,1.3129745033263043
1.3513762098782873,1.3619424100709263,1.3771844236582822,1.3283072612086713,1.3752618346897363,1.3357529066771563
1.3306922914623351,1.3211633331178503,1.3770779247639462,1.3122533715954283,1.3768436936763953,1.3823338582735483
1.3234058618113962,1.3630398703151911,1.1843706913554153,1.3395422159504773,1.2223326725912051,1.2705073464591392
1.3759662302427482,1.3731274684125883,1.3529969076483201,1.3648065893438663,1.3246645964089672,1.3896821327946953
1.3738578769650371,1.3665387528979172,1.3888920271110583,1.2954892088697292,1.3432429187310562,1.3786867884406402
1.3425815959582272,1.3538163944147643,1.3776119636758613,1.3309529707847212,1.3313415660741552,1.3870797844350353
1.3354751094344182,1.3177347097885432,1.3466374265233092,1.2853332775086332,1.3364976851511452,1.3398906402342563
1.3095765550083962,1.2206761087999232,1.1935039607036844,1.2792684242121672,1.2752392426705912,1.3018167074652043
